Array Design Name	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Comment[AdditionalFile:CDF]	HG-U133A.CDF
Comment[AdditionalFile:CDF]	HG-U133A.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-33
Comment[SubmittedName]	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	http://mged.sourceforge.net/ontologies/MGEDOntology.daml#in_situ_oligo_features
Technology Type Term Source REF	mo:1.1.3
Surface Type	glass
Term Source Name	mo:1.1.3	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	genbank	gpcrdb	interpro	kegg	locus	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://www.gpcr.org/	http://www.ebi.ac.uk/interpro	http://www.genome.ad.jp/kegg/	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www3.ncbi.nlm.nih.gov/omim	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version	1.1.3																	
Comment[AdditionalFile:txt]	A-AFFY-33_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[blocks]	Composite Element Database Entry[interpro]	Composite Element Database Entry[locus]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[swall]	Composite Element Database Entry[unigene]	Composite Element Database Entry[genbank]	Composite Element Database Entry[omim]	Composite Element Database Entry[pfam]	Composite Element Database Entry[refseq]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[kegg]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]	Composite Element Database Entry[gpcrdb]
1494_f_at	M33318	1494_f_at	IPB001128	IPR002401	1548	ENSG00000171563	Q9WV19	Hs.334345	15147326	122720	p450	NM_000762	d1dt6a_	1.14.14.1	MAP00380		S32491	
1598_g_at	L13720	rc_AI102871_at	IPB003865	IPR001881	10609		Q92791	Hs.207251	11322247			NM_006455						
160020_at	Z48481	rc_AI070584_at	IPB000130	IPR006026	4323	ENSG00000157227	Q9UHK5	Hs.2399	2135759	600754	hemopexin	NM_004995	d1slm_1	3.4.24.12				
1729_at	L41690	1729_at		IPR000488	8717		TRAD_HUMAN	Hs.89862	13378137	603500	death	NM_003789	d1f3va_					
1773_at	L00635	rc_AI230914_at	IPB001330	IPR001330	2342	ENSG00000125954	P49356	Hs.276	10835059	134636	prenyltrans	NM_002028	d1jcqb_	2.5.1				
177_at	U38545	92474_at	IPB001683	IPR001849	5337	ENSG00000075651	PLD1_RAT	Hs.82587	4505873	602382	PX	NM_002662	d1f0ia1	3.1.4.4				
179_at	U38980	179_at	PR00344	IPR003594	5387	ENSG00000127957	Q8TAI9	Hs.180121	4239954		KRAB	NM_005395						
1861_at	U66879	rc_AI172157_at		IPR000712	572	ENSG00000002330	O14803	Hs.76366	10835069	603167		NM_004322						
2028_s_at	M96577	AA270895_s_at	IPB003316	IPR003316	1869	ENSG00000101412	E2F1_RAT	Hs.96055	12669911	189971	E2F_TDP	NM_005225	d1cf7a_					
243_g_at	M64571	rc_AA955393_at	IPB001084	IPR001084	4134	ENSG00000047849	Q8NDS5	Hs.239298	14195630	157132	tubulin-binding	NM_002375						
266_s_at	L33930	266_s_at			934	ENSG00000129868	Q9UI50	Hs.375108	396168	600074		NM_013230						
31637_s_at	X72631	rc_AI233255_at	PR01217	IPR002965	9572	ENSG00000126368	Q62171	Hs.276916	13430848	602408	zf-C4	NM_021724	d1fcya_					
31799_at	AF070618	31799_at						Hs.14074										
31807_at	U69190	rc_AA998780_at	IPB000629	IPR001650	54555	ENSG00000105671	Q9BVQ8	Hs.143187	2443870		DEAD	NM_019070	d1hv8a1					
31826_at	AB014574	31826_at		IPR001960	23307	ENSG00000119321	Q9Y4D0	Hs.14799										
31835_at	M13149	31835_at	PR00334		3273	ENSG00000113905	HRG_HUMAN	Hs.1498	13358874		cystatin	NM_000412						
31837_at	U62317	31837_at			91289		Q96C62	Hs.150540	20561915			NM_033200						
31845_at	U32645	98289_at	IPB000418	IPR002341	2000	ENSG00000102034	Q9H570	Hs.151139	10800437		Ets	NM_001421	d1duxc_					
31846_at	AW003733	d89821_at	PR00364	IPR001806	29984	ENSG00000173156	O00212	Hs.15114	6671573	605781	ras	NM_014578	d1mh1__					
31861_at	L14754	rc_AI231287_at	PR00819	IPR004483	3508	ENSG00000132740	SMB2_HUMAN	Hs.1521	1082534	600502	R3H	NM_002180	d1pjr_1					
31874_at	Y07846	rc_AI231471_at	PR00888	IPR002965	10634		Q8N9Y5	Hs.322852	12804707	602128	GAS2	NM_152236						
32029_at	AF017995	Y15748_at	IPB003605	IPR002290	5170		Q9BRD5	Hs.154729	13592023	605213	pkinase	NM_002613	d1fota_	2.7.1.38		TPK3		
32032_at	L77566	32032_at			8220	ENSG00000100056	Q96DF8	Hs.154879	12804313	601755		NM_022719						
32042_at	S72904	32042_at	IPB000237	IPR005613	10495	ENSG00000165675	Q9UH82	Hs.155185	17485914	300282		NM_006375						
32062_at	D25216	32062_at	PR00019	IPR000209	9684	ENSG00000160959	Q15048	Hs.155650	21703932		LRR	NM_014665						
32069_at	AB014515	1446957_s_at			9683	ENSG00000102921	O75113	Hs.323712	20885737			NM_014664						
32088_at	U79751	aa177332_s_at			8548	ENSG00000117475	Q9H2G9	Hs.158205	11545323			NM_003666						
32091_at	AB007915	1436909_at		IPR002113	9673	ENSG00000160785	Q96H78	Hs.158286										
32094_at	AB017915	94170_at			9469	ENSG00000122863	Q9QZL2	Hs.158304	19923281	603799		NM_004273		2.8.2.17				
32099_at	D50928	32099_at	IPB001322	IPR000504	9667	ENSG00000130254	Q14151	Hs.159384	21264343		SAP	NM_014649						
320_at	D83703	D63673_at	IPB001984	IPR003960	5190	ENSG00000124587	Q99LC9	Hs.301636	12644408	601498	AAA	NM_000287	d1e32a2	3.4.21.53				
32128_at	Y13710	32128_at	IPB001089	IPR001811	6362	ENSG00000006074	SY18_HUMAN	Hs.16530	4506831	603757	IL8	NM_002988	d1huna_					
32137_at	AF029778	rc_AI101320_at	IPB000561	IPR001881	3714	ENSG00000156435	Q9Y6Q0	Hs.166154	21704277	602570	EGF	NM_002226	d1edmb_	3.4.21.84				
32209_at	AF052151	32209_at			23625		Q8N5H3	Hs.18686	12963547			NM_152832						
32259_at	AB002386	U60453_s_at	IPB001005	IPR001719	2145	ENSG00000108799	Q92800	Hs.194669	1638875	601674	SET	NM_001991						
32402_s_at	Y10931	rc_AI236089_at			8189	ENSG00000125755	SPK_HUMAN	Hs.107019	20987575	602388		NM_004819						
32502_at	AL041124	rc_AI044848_s_at	IPB001359	IPR004129	81544		Q8N781	Hs.6748	21361935		GDPD	NM_030792		3.1.4.46				
32540_at	AI762547	M81475_s_at	IPB000934	IPR006186	5533	ENSG00000120910	Q9BSS6	Hs.75206	21361290	114107	Metallophos	NM_005605	d1auia_	3.1.3.16				
32541_at	S46622	M81475_s_at	IPB000934	IPR006186	5533	ENSG00000120910	P48454	Hs.75206	21361290	114107	Metallophos	NM_005605	d1auia_	3.6.1.41				
32625_at	X15357	1449160_at	IPB003306	IPR001993	4881	ENSG00000169418	ANPA_MOUSE	Hs.167382	204270	108960	guanylate_cyc	NM_000906	d1azsb_	4.6.1.2	MAP00230	Ctr1		
32699_s_at	X64116	32699_s_at	IPB003006	IPR003596	5817	ENSG00000073008	Q15267	Hs.171844	19923372		ig	NM_006505						
32723_at	L02547	aa260455_s_at	IPB001680	IPR001680	1477	ENSG00000101138	Q05048	Hs.172865	13195628	600369	WD40	NM_001324						
32811_at	X98507	1419649_s_at		IPR001609	4641		Q14784	Hs.406111	22065493	606538	IQ	NM_033375	d1lvk_2					
32836_at	U56417	rc_AA963505_at	IPB003740	IPR004552	10554	ENSG00000168448	Q9HBM8	Hs.240534	14579219	603099	Acyltransferase	NM_006411		2.3.1.51	MAP00561			
32837_at	U56418	162612_at	IPB002123	IPR004552	10555	ENSG00000169692	Q8WUW2	Hs.209119		603100	Acyltransferase	NM_006412		2.3.1.51				
33132_at	U37012	rc_AA956421_at		IPR004871	29894	ENSG00000071894	Q9C0J6	Hs.83727	23503048	606027	CPSF_A	NM_013291						
33148_at	AI459274	1419650_at		IPR000822	51663	ENSG00000056097	Q9Y687	Hs.173518	12653217			NM_016107						
33197_at	U39226	U81453_s_at	IPB000299	IPR001609	4647	ENSG00000137474	Q13402	Hs.95361	11360310	276903	SH3	NM_000260	d1lvk_2					
33304_at	U88964	33304_at	IPB000520	IPR006055	3669		Q96AZ6	Hs.183487	15805028	604533	Exonuclease	NM_002201						
33307_at	AL022316	33307_at		IPR000504	27341		Q9D1C9	Hs.239934	21594345			NM_015703						
33322_i_at	X57348	aa670807_s_at	IPB000308	IPR000308	2810	ENSG00000169287	Q9JJ20	Hs.184510	5454052	601290	14-3-3	NM_006142	d1qjba_					
33323_r_at	X57348	aa670807_s_at	IPB000308	IPR000308	2810	ENSG00000169287	Q9JJ20	Hs.184510	5454052	601290	14-3-3	NM_006142	d1qjba_					
33494_at	S69232	97869_at	IPB000172	IPR000103	2110	ENSG00000171503	AAH11890	Hs.323468	2498344	231675		NM_004453	d1lpfa1	1.8.1.4				
33579_i_at	Z97630	1387469_at	IPB000221	IPR003908	8484	ENSG00000128310	O60755	Hs.158353	3642921	603692	7tm_1	NM_003614						GPCR:GALR_HUMAN
33646_g_at	X61094	u09816_s_at			2760	ENSG00000164598	Q14428	Hs.289082	17449810	272750		NM_000405	d1g13a_					
336_at	D38081	D32080_at	IPB000276	IPR001105	6915	ENSG00000006638	Q9H389	Hs.89887	3024701	188070	7tm_1	NM_001060						GPCR:TA2R_BOVIN
33736_at	Y16522	33736_at	IPB003033	IPR003033	9399	ENSG00000067221	Q9UMB9	Hs.194816	20149563		Band_7	NM_004809	d1c44a_					
33760_at	AB017546	aa274643_s_at	IPB000177		5195	ENSG00000142655	O75381	Hs.19851	4126962	601791		NM_004565						
33767_at	X15306	33767_at					Q9UQ14											
33768_at	L19267	96193_at		IPR001680	1762		Q8WUW6	Hs.275924										
33778_at	AL096779	131448_at		IPR000195	25771		Q9NXB6	Hs.20017	18088099		TBC	NM_014346						
33814_at	AF005046	33814_at	IPB003605	IPR002290	10298	ENSG00000130669	Q8NDE3	Hs.20447	20824025	605451	pkinase	NM_005884	d1f3mc_	2.7.1.38		STE20		
33850_at	W28892	rc_AA955393_at	IPB001084	IPR001084	4134	ENSG00000047849	P27816	Hs.239298	14195630	157132	tubulin-binding	NM_030885						
34031_i_at	U90268	34031_i_at		IPR002110	889	ENSG00000001631	Q9EPY2	Hs.93810		604214								
34063_at	AB006533	AA624143_at	IPB000185	IPR001650	9400	ENSG00000108469	Q9BSD6	Hs.33818	4759032	603781	DEAD	NM_004259	d1fuka_					
34187_at	D28483	34187_at	PR00961	IPR002343	5939	ENSG00000076067	Q15434	Hs.20938	18203746	602387	rrm	NM_002898						
34206_at	AB018325	34206_at	PR00405	IPR001164	116985		Q9CRJ3	Hs.21264	20521656	606646	RhoGAP	NM_015242	d2ngrb_					
34210_at	N90866	m55561_s_at			1043	ENSG00000169442	Q9BW46	Hs.276770	399214	114280		NM_001803						
34221_at	D83778	rc_AA893662_at		IPR000910	22993		Q12766	Hs.216958										
34225_at	AF101434	34225_at			7469	ENSG00000109696	Q9H3P2	Hs.21771	19913363	606026		NM_005663						
34260_at	AB014583	34260_at			9894	ENSG00000100726	O75168	Hs.226275	6635131			NM_016111						
34406_at	AB011174	34406_at			23241		Q96FL7	Hs.37656										
34408_at	AF004222	34408_at	IPB003388	IPR003388	6253	ENSG00000125744	Q96CG9	Hs.3803	15559787	603183	Reticulon	NM_005619						
34449_at	U13022	1367890_at	PR00376	IPR002138	835	ENSG00000106144	Q9BUP7	Hs.108131	14790182	600639	ICE_p10	NM_032983	d3ygsp_	3.4.22.36				
34471_at	M36769	Msa.1006.0_at	IPB001664	IPR004009	4626	ENSG00000133020	Q9QZV8	Hs.113973	20558376	160741	myosin_head	NM_002472	d1b7ta4				Q27480	
34478_at	X79780	Msa.43186.0_f_at	IPB000619	IPR005225	9230	ENSG00000142392	Q8NI07	Hs.239018	14249144	604198	ras	NM_004218	d1huqa_					
34689_at	AJ243797	34689_at		IPR006055	11277		Q9NSU2	Hs.278408	18390347	606605	Exonuclease	NM_033629						
34697_at	AF074264	34697_at	IPB002172	IPR002172	4040	ENSG00000070018	O88572	Hs.23672	4505017	603507	ldl_recept_b	NM_002336	d1ajj__	3.1.1.17				
34726_at	U07139	M88751_at	IPB000619	IPR001452	784		P54284	Hs.250712	1705683	601958	Ca_channel_B	NM_000725						
34764_at	D21851	rc_AI070589_at	IPB001412	IPR002302	23395	ENSG00000011376	AAH25989	Hs.2450	23346617	604544	tRNA-synt_1	NM_015340	d1gaxa3	6.1.1.4	MAP00970			
34846_at	AF112472	M16112_g_at	PR01217	IPR002290	816	ENSG00000058404	Q13554	Hs.4884	6688228		pkinase	NM_172081	d1a06__	2.7.1.38		CaMKIIb		
34858_at	D79998	34858_at		IPR003131	23510		Q14681	Hs.4935										
34868_at	AB029012	34868_at			23381		Q9UPR3	Hs.4990	17489152			NM_015327						
35147_at	AB002360	Z35654_at		IPR002017	23263		Q8NAF9	Hs.25515	13376482			NM_024979						
35148_at	AC005954	35148_at	IPB003351	IPR005420	27134	ENSG00000105289	ZO3_HUMAN	Hs.25527	10092691		Guanylate_kin	NM_014428	d1kjwa2					
35150_at	X60592	rc_AA925211_at	IPB001368	IPR001993	958	ENSG00000101017	TNR5_HUMAN	Hs.25648	23312371	109535	TNFR_c6	NM_001250	d1jmab1					
35156_at	AL050297	35156_at		IPR001374		ENSG00000104679	Q9Y3T6	Hs.300861										
35160_at	AF064491	u69270_s_at		IPR002691	8861	ENSG00000148820	Q9UGM4	Hs.26002	4504969	603451	LIM_bind	NM_003893						
35179_at	AB009598	1373481_at		IPR005027	26229	ENSG00000149541	O94766	Hs.26492	12408654	606374	Glyco_tranf_43	NM_012200	d1fgga_	2.4.1.135	MAP00532			
35201_at	X16135	rc_AI237129_at	PR01228	IPR000504	3191	ENSG00000104824	P14866	Hs.2730	11527777	603083	rrm	NM_001533						
35254_at	AB007447	rc_AI176300_at		IPR000822	10906	ENSG00000135148	O14545	Hs.5148				NM_006700						
35265_at	U31501	35265_at		IPR004088	9513	ENSG00000129245	Q9WVR5	Hs.52788	18043082	605339	KH	NM_004860	d2fmr__					
35436_at	L06147	1386942_at	IPB001580		2801	ENSG00000167110	GG95_HUMAN	Hs.24049	12018260	602580		NM_004486						
35617_at	U29725	rc_AI230593_s_at	PR00049	IPR003527	5598	ENSG00000166484	MK07_MOUSE	Hs.3080	20986497	602521	pkinase	NM_139032	d3erk__	2.7.1.38		SLT2		
35626_at	U30894	35626_at	IPB002591	IPR000886	6448		P51688	Hs.31074	11935045	252900	Sulfatase	NM_000199		3.1.6.8				
35666_at	U38276	Msa.21436.0_s_at	IPB002165	IPR003659	6405	ENSG00000001617	O54948	Hs.32981	4759090	601124	Sema	NM_004186						
35671_at	U02619	R75469_rc_s_at		IPR001005	2975	ENSG00000077235	Q12838	Hs.331	2342740	603246		NM_001520						
35685_at	Z14000	rc_AI008701_at	PR01228	IPR001841	6015	ENSG00000112477	AAH02922	Hs.202430	17826764	602045	zf-C3HC4	NM_002931						
35776_at	AF064243	1435885_s_at	IPB003894	IPR001849	6453	ENSG00000142183	Q9WVE1	Hs.66392	20141591	602442	RhoGEF	NM_003024	d1fi6a_				Q27480	
35820_at	X62078	u09816_s_at			2760	ENSG00000164598	SAP3_HUMAN	Hs.289082	17449810	272750		NM_000405	d1g13a_					
35846_at	M24899	x51983_s_at	IPB002360	IPR001728	7067	ENSG00000126351	O42560	Hs.724	20127452	190120	zf-C4	NM_003250	d1ilga_					
35974_at	U10485	U10484_s_at			4033	ENSG00000118308	Q60664	Hs.40202	5453724	602003		NM_006152						
36004_at	AF074382	94196_at	IPB003743	IPR000822	8517	ENSG00000073009	AAH12114	Hs.43505	3511151	300248	zf-C2H2	NM_003639						
36019_at	L26260	rc_AI230945_s_at			8859	ENSG00000166301	Q9JHN8	Hs.444	14602431	604977		NM_004197						
36030_at	AL080214	rc_AI030028_at	IPB001664	IPR001664	25900	ENSG00000010295	Q9BQ46	Hs.46659	18490978		filament	NM_080730						
36084_at	D38548	w15854_at	IPB001373	IPR001993	9820	ENSG00000044090	Q14999	Hs.51039	20555173			NM_014780	d1jhja_					
36129_at	AB007857	rc_AA893436_at		IPR000345	9905		O43147	Hs.7416										
36475_at	Z97630	1375979_at	IPB001917	IPR004839	23464	ENSG00000100116	Q9CZ08	Hs.54609	15680212	607422	aminotran_1_2	NM_014291	d1fc4a_	4.4.1.14	MAP00260			
36499_at	D87469	92364_at	IPB001862	IPR000561	1952	ENSG00000143126	Q9HCU4	Hs.57652	13325064	604265	laminin_G	NM_001408						
36545_s_at	AB011114	36545_s_at			9814	ENSG00000133450	AAH33613	Hs.62209										
36552_at	AL080220	rc_AI235349_at		IPR001770	26005		Q9Y4M2	Hs.376803										
36553_at	AA669799	36553_at	IPB003697	IPR003697	8623	ENSG00000169093	Q8NBH5	Hs.6315	12803375		Maf	NM_004192	d1fp2a2	2.1.1.4				
36554_at	Y15521	36554_at	IPB003697	IPR003697	8623	ENSG00000169093	Q8NBH5	Hs.6315	12803375	300162	Maf	NM_004192	d1fp2a2	2.1.1.4				
36564_at	W27419	rc_AA859752_at			127544		Q8N2S8	Hs.352358	23503263		IBR	NM_153341						
36566_at	AJ222967	1416274_at		IPR005282	1497	ENSG00000040531	Q9UNK6	Hs.64837	23273064	606272	PQ-loop	NM_004937						
36612_at	D87470	36612_at			23201	ENSG00000054965	Q92567	Hs.75400										
36711_at	AL021977	Msa.15746.0_s_at	IPB001871	IPR004827	23764	ENSG00000159823	MAFF_HUMAN	Hs.51305	6912490	604877	bZIP_Maf	NM_012323						
36742_at	U34249	36742_at	IPB001293	IPR003877	89870	ENSG00000137384	AAH38585	Hs.337461	12407433		SPRY	NM_033229						
36829_at	AF022991	af022992_g_at	PR00910	IPR002965	5187		PER1_MOUSE	Hs.68398	4505713	602260		NM_002616						
36830_at	U80034	1369023_at		IPR006025	4285	ENSG00000027001	Q96G65	Hs.68583	14602871	602241	Peptidase_M3	NM_005932	d1i1ip_	3.4.24.59				
36865_at	AB018302	36865_at		IPR005135	23357		Q8NCS9	Hs.7285	14784709		Exo_endo_phos	NM_015305						
36888_at	AB020648	36888_at		IPR000504	23354	ENSG00000089336	O94927	Hs.7426										
36907_at	M88468	rc_AA924198_s_at	PR00960	IPR001174	4598		Q03426	Hs.130607	450346	251170	GHMP_kinases	NM_000431		2.7.1.36	MAP00100			
36920_at	U46024	96199_at	IPB000387	IPR004182	4534		Q9YHX2	Hs.75302	21314969	300415	GRAM	NM_000252						
36936_at	U58766	rc_AI237382_at	IPB003866		7264	ENSG00000104522	FCL_MOUSE	Hs.404119	22094592	137020		NM_003313	d1e6ua_	5.3.3.1				
36994_at	M62762	36994_at	IPB000454	IPR002379	527	ENSG00000162065	P27449	Hs.389107	3024812	108745	ATP-synt_C	NM_001694		3.6.3.14	MAP03070			
37004_at	J02761	rc_AI170380_g_at	IPB000004	IPR003258	6439	ENSG00000168878	P07988	Hs.76305	4506905	178640	Surfactant_B	NM_000542	d1nkl__					
37005_at	D28124	101969_at		IPR004133	4681	ENSG00000158747	Q96L68	Hs.76307	16356651	600613	DAN	NM_005380						
37012_at	U03271	Msa.23546.0_f_at	IPB001698	IPR001698	832	ENSG00000077549	Q923G3	Hs.333417	11131728	601572	F_actin_cap_B	NM_004930						
37020_at	X56692	rc_AA957410_at	IPB001759	IPR001759	1401	ENSG00000132693	CRP_HUMAN	Hs.76452	10835135	123260	pentaxin	NM_000567	d1b09a_					
37022_at	U41344	rc_AI176003_at	PR00019	IPR003591	5549	ENSG00000159391	P51888	Hs.76494	21542194	601914	LRR	NM_002725	d1jl5a_					
37028_at	U83981	37028_at	IPB000135		23645	ENSG00000087074	Q9NVU6	Hs.76556	11425228			NM_014330						
37079_at	U82319	rc_AI012979_at	IPB001441		116150	ENSG00000153989	Q96E22	Hs.289008	13384840			NM_138459	d1jp3a_	2.5.1.31				
37117_at	Z83838	rc_AI070521_s_at	IPB000198	IPR000198	23779	ENSG00000077955	AAN40769	Hs.102336	7656904		RhoGAP	NM_015366	d2ngrb_					
37145_at	M85276	37145_at	IPB003119	IPR000004	10578	ENSG00000115523	P22749	Hs.105806	1709298	188855		NM_006433	d1nkl__					
37152_at	L07592	37152_at	PR00350	IPR003075	5467	ENSG00000112033	Q9BUD4	Hs.106415	346286	600409	hormone_rec	NM_006238	d1fcya_					
37170_at	AB015331	aa673486_rc_at	IPB003605	IPR002290	55589	ENSG00000138756	Q91Z96	Hs.20137	11360158		pkinase	NM_017593				ninaC		
37201_at	D38535	37201_at		IPR002035			Q14624	Hs.381820										
37226_at	U15172	rc_AA819398_at		IPR005606	662	ENSG00000113734	Q96FG4	Hs.77572	7524350	603291	Sec20	NM_001205						
37232_at	AB011158	37232_at			9786	ENSG00000100578	Y586_HUMAN	Hs.77724	20856535			NM_014749						
37254_at	U09366	37254_at	IPB001275	IPR001909	7692	ENSG00000125846	P52736	Hs.78434	11137511	604075	zf-C2H2	NM_003434						
37278_at	X92762	37278_at	IPB002123	IPR000872	6901	ENSG00000102125	Q16635	Hs.389108	19526844	300394	Acyltransferase	NM_000116		2.3.1.15				
37384_at	D13640	rc_AI072580_at	IPB000135	IPR001932	9647	ENSG00000100034	FEM2_HUMAN	Hs.278441	16223994		PP2C	NM_014634						
37408_at	AB014609	100759_at	PR01504	IPR002353	9902	ENSG00000011028	Q9UBG0	Hs.7835	4835878		fn2	NM_006039	d2fn2__					
37424_at	AB029343	37424_at	IPB002151		54535	ENSG00000137320	Q9NXK3	Hs.110746	7020157	605310		NM_019052						
37425_g_at	AB029343	37425_g_at	IPB002151		54535	ENSG00000137320	Q9NXK3	Hs.110746	7020157	605310		NM_019052						
37433_at	AF077954	rc_AI145852_at	IPB002889	IPR003034	9063	ENSG00000078043	Q99JX5	Hs.111323	16758050	603567	zf-MIZ	NM_004671						
37462_i_at	L21990	rc_AA945596_at	IPB002896	IPR003604	8175	ENSG00000104897	S3A2_HUMAN	Hs.115232	21361376	600796		NM_007165						
37512_at	U89281	U89280_at	IPB002198	IPR002347	8630	ENSG00000025423	O14756	Hs.11958	19743808	606623	adh_short	NM_003725	d1hdca_	1.1.1.105				
37547_at	U85995	rc_AI178392_at			27241	ENSG00000122507	Q99854	Hs.79340	13929460			NM_014451						
37549_g_at	U87408	rc_AI178392_at			27241	ENSG00000122507	P78514	Hs.79340	13929460			NM_014451						
37566_at	AB028968	37566_at			23349	ENSG00000122733	Q9UPV7	Hs.7989										
37577_at	U79256	M90398_at			84986		Q8NF34	Hs.80305	14249668			NM_032900						
37586_at	D87073	37586_at	IPB000822	IPR000822	7701	ENSG00000115568	P52746	Hs.80526	14193749	604083	zf-C2H2	NM_005081						
37590_g_at	AL109698	37590_g_at					Q8NDU0	Hs.323053										
37652_at	AB002328	AF061947_g_at		IPR001440	23523	ENSG00000099991	Q9Y6J0	Hs.7840	6685232	604251	TPR	NM_012295						
37793_r_at	AF034956	37793_r_at	IPB002014	IPR003265	5892	ENSG00000092871	O75771	Hs.125244	3107925	602954	HhH-GPD	NM_133627	d2reb_1					
37796_at	AF053356	Msa.19281.0_s_at	PR00888	IPR003591	4034	ENSG00000077454	Q921G6	Hs.125742	17391256		CH	NM_002319	d1h6ua2					
37802_r_at	AL049226	37802_r_at		IPR001230	54629		Q8NBR6	Hs.40719										
37831_at	AB011117	37831_at		IPR000331	23094	ENSG00000105738	Q9CSR2	Hs.129943										
37860_at	AL049942	37860_at		IPR001909	26152		Q9Y3Y5	Hs.139240	20559617		KRAB	NM_015655						
37872_at	AF072468	37872_at		IPR004875	8629		O75564	Hs.142296	22049484	603210	CENP-B_N	NM_003724						
37892_at	J04177	D38162_s_at	IPB001442	IPR003129	1301	ENSG00000060718	Q9EQV1	Hs.82772	6165882	120280	Collagen	NM_001854						
37943_at	AB002319	rc_AI029793_at		IPR000822	23503	ENSG00000072121	Q96H43	Hs.8663										
37950_at	X74496	170639_i_at	IPB002471	IPR004106	5550	ENSG00000085377	O70196	Hs.86978	20149545	600400	Peptidase_S9	NM_002726	d1qfma1	3.4.21.26				
37953_s_at	U78181	1371045_at	IPB001873	IPR004724	41	ENSG00000110881	P78349	Hs.274361	21536349	602866	ASC	NM_001095						
37965_at	AA181053	c76278_rc_at		IPR001715	29780	ENSG00000022364	Q96PN1	Hs.8836	20127528		CH	NM_013327						
37966_at	AA187563	c76278_rc_at		IPR001715	29780	ENSG00000022364	Q9HBI1	Hs.8836	7208830		CH	NM_013327						
37986_at	M60459	1369988_at	IPB003531	IPR003961	2057	ENSG00000105532	Q15443	Hs.127826	4503591	133171	fn3	NM_000121	d1eerb1					
37996_s_at	L08835	93431_at	IPB000494	IPR002290	1760	ENSG00000104936	DMK_MOUSE	Hs.898	10334852		pkinase	NM_004409	d1cdka_	2.7.1.38		DM		
38037_at	M60278	168364_r_at	IPB000561	IPR000561	1839	ENSG00000113070	Q99075	Hs.799	1346256	126150	EGF	NM_001945	d1xdtr_					
38043_at	X55448	38043_at			60343	ENSG00000071889	Q9BU27	Hs.289108	13324682			NM_021806						
38069_at	Z67743	104391_s_at	PR00762	IPR002249	1186	ENSG00000103249	Q9BRN4	Hs.80768	14149607	602727	CBS	NM_001287	d1kpla_					
38149_at	D29642	38149_at	IPB000237	IPR001849	9938	ENSG00000163219	Y053_HUMAN	Hs.1528	24660066		PH	NM_014882	d1pls__					
38157_at	AF059252	rc_AA964269_at			1797	ENSG00000168493	Q9NPK4	Hs.153299	20631980	605996		NM_005510						
38158_at	D79987	38158_at		IPR005314	9700	ENSG00000135476	Q14674	Hs.153479	23681458	604143	Peptidase_C50	NM_012291						
38241_at	U90548	38241_at	IPB003006	IPR003879	10384	ENSG00000124561	O75658	Hs.167741	19923379		SPRY	NM_006994	d1i85a_					
38269_at	AL050147	38269_at	PR01262	IPR000719	25865	ENSG00000105287	Q9BZL6	Hs.91146	19923468	607074	PH	NM_016457	d1phk__	2.7.1.38		PKCm		
38290_at	AF037195	U92279_at	IPB003116	IPR003109	10636	ENSG00000169220	O43566	Hs.9347	19855059	602513	GoLoco	NM_006480	d1cmza_					
38340_at	AB014555	1425551_at		IPR002558	9026		Q9UED9	Hs.96731		605613								
38398_at	AB002356	rc_AA892325_at		IPR005113	8567	ENSG00000110514	Q8WXG5	Hs.82548	18860868	603584	dDENN	NM_130474						
38447_at	U08438	1388757_at	IPB000494	IPR002290	156	ENSG00000173020	Q99MK8	Hs.83636	4501971	109635	PH	NM_001619	d1fota_	2.7.1.126		bARK1		
38487_at	D87433	aa286479_s_at	IPB000033	IPR002049	23166	ENSG00000010327	Q93072	Hs.301989	12225240		Fasciclin	NM_015136	d1tsg__					
38521_at	X59350	38521_at	IPB003006	IPR003600	933	ENSG00000012124	Q9UQB0	Hs.171763	4502651	107266	ig	NM_001771	d2fcba1					
